,user_id,title,actual,predicted,abs_err,item_train_ratings,user_train_ratings
0,405,Another Stakeout (1993),5.0,1.253871839798531,3.746128160201469,15,603
1,270,Jerry Maguire (1996),1.0,4.360578815048327,3.360578815048327,303,114
2,148,Amadeus (1984),1.0,4.318727306069631,3.318727306069631,223,50
3,363,"World of Apu, The (Apur Sansar) (1959)",1.0,4.31663887964281,3.3166388796428103,5,243
4,159,"English Patient, The (1996)",1.0,4.2812868327870826,3.2812868327870826,385,86
5,186,"Usual Suspects, The (1995)",1.0,4.265065648008974,3.2650656480089744,218,77
6,592,Fantasia (1940),1.0,4.260014174381294,3.2600141743812943,137,301
7,867,Leaving Las Vegas (1995),1.0,4.257509707023172,3.257509707023172,235,79
8,72,"Empire Strikes Back, The (1980)",1.0,4.2525513583075165,3.2525513583075165,290,112
9,887,"Little Princess, A (1995)",1.0,4.22179746471563,3.22179746471563,30,137
10,310,Tetsuo II: Body Hammer (1992),1.0,4.219564267367346,3.219564267367346,4,17
11,605,Raising Arizona (1987),1.0,4.2046982136163225,3.2046982136163225,204,76
