,n_factors,n_epochs,lr_all,reg_all,cv_rmse,cv_rmse_sd,rank_test_rmse,cv_mae,std_test_mae,mean_fit_time
0,200,80,0.01,0.15,0.9294087585759812,0.0003191619328351,1,0.736850394189581,0.0007815711614857,5.555819749832153
1,150,80,0.01,0.15,0.9295216295766554,7.799304946593547e-05,2,0.7368440472108649,0.0006516010104684,3.983319123586019
2,100,80,0.01,0.15,0.9296631074500192,0.0001733292173051,3,0.7369739182869649,0.0007743454557124,2.506086190541585
3,200,60,0.01,0.15,0.929839110342917,0.0003036404554429,4,0.7373390334222153,0.0008339247618944,4.779825448989868
4,150,60,0.01,0.15,0.9300150745668834,0.0001345251505722,5,0.7373526457564562,0.0007304683052167,2.614550749460856
5,200,60,0.015,0.15,0.930099901404739,0.0002513906741978,6,0.7373833871564114,0.0008756568487742,5.557120323181152
6,100,60,0.01,0.15,0.9301521476185584,0.0002615804836765,7,0.7375023423238681,0.0007978206276691,1.6727801163991292
7,200,40,0.01,0.1,0.9301529071676464,0.0002403636399226,8,0.7361585463046801,0.0005177198870296,2.7900050481160483
8,200,60,0.01,0.1,0.9301608776362263,0.0002326586861386,9,0.7359515096125561,0.0004928972388155,4.351668119430542
9,150,60,0.015,0.15,0.930210385157383,0.0001952047101712,10,0.7373755209889223,0.0007805898473872,2.955880880355835
