user_id,rank,item_id,predicted,title
186,1,1449,4.645823102383927,Pather Panchali (1955)
186,2,318,4.483595704568357,Schindler's List (1993)
186,3,1512,4.466177187993063,"World of Apu, The (Apur Sansar) (1959)"
186,4,1233,4.4616714796854495,Nénette et Boni (1996)
186,5,867,4.383808106750294,"Whole Wide World, The (1996)"
186,6,1599,4.372256750879694,Someone Else's America (1995)
186,7,64,4.343670061732862,"Shawshank Redemption, The (1994)"
186,8,174,4.341581077510561,Raiders of the Lost Ark (1981)
186,9,1467,4.340751442133547,"Saint of Fort Washington, The (1993)"
186,10,483,4.316455760176215,Casablanca (1942)
22,1,1449,4.697914640721211,Pather Panchali (1955)
22,2,408,4.65797912430563,"Close Shave, A (1995)"
22,3,169,4.629621936550787,"Wrong Trousers, The (1993)"
22,4,1512,4.584206938694074,"World of Apu, The (Apur Sansar) (1959)"
22,5,1554,4.545694869214621,Safe Passage (1994)
22,6,64,4.523001282210977,"Shawshank Redemption, The (1994)"
22,7,119,4.522633265866126,Maya Lin: A Strong Clear Vision (1994)
22,8,114,4.464315415262436,Wallace & Gromit: The Best of Aardman Animation (1996)
22,9,12,4.463810020270759,"Usual Suspects, The (1995)"
22,10,1142,4.4513323089292225,When We Were Kings (1996)
244,1,1449,4.8389227527854555,Pather Panchali (1955)
244,2,1512,4.8113286205826125,"World of Apu, The (Apur Sansar) (1959)"
244,3,320,4.627687763311295,Paradise Lost: The Child Murders at Robin Hood Hills (1996)
244,4,178,4.58951381603491,12 Angry Men (1957)
244,5,603,4.56422217657154,Rear Window (1954)
244,6,408,4.553856915747331,"Close Shave, A (1995)"
244,7,119,4.527195364323649,Maya Lin: A Strong Clear Vision (1994)
244,8,1599,4.523481876492301,Someone Else's America (1995)
244,9,127,4.508883448919702,"Godfather, The (1972)"
244,10,1450,4.508154064468281,Golden Earrings (1947)
166,1,1189,4.53695858683667,Prefontaine (1997)
166,2,1233,4.4978321909266095,Nénette et Boni (1996)
166,3,1554,4.450838724867866,Safe Passage (1994)
166,4,1368,4.4427219175484565,Mina Tannenbaum (1994)
166,5,174,4.435959541857242,Raiders of the Lost Ark (1981)
166,6,1467,4.415986688726824,"Saint of Fort Washington, The (1993)"
166,7,867,4.376329766453886,"Whole Wide World, The (1996)"
166,8,1449,4.369020980177277,Pather Panchali (1955)
166,9,1500,4.363980493046427,Santa with Muscles (1996)
166,10,1269,4.337586240915947,Love in the Afternoon (1957)
298,1,1449,4.7728464742360295,Pather Panchali (1955)
298,2,1467,4.71925557419176,"Saint of Fort Washington, The (1993)"
298,3,64,4.636555771857944,"Shawshank Redemption, The (1994)"
298,4,1512,4.618621934871922,"World of Apu, The (Apur Sansar) (1959)"
298,5,1189,4.591469817896321,Prefontaine (1997)
298,6,1064,4.562526971086995,Crossfire (1947)
298,7,169,4.5545938330262405,"Wrong Trousers, The (1993)"
298,8,867,4.543091082626834,"Whole Wide World, The (1996)"
298,9,1554,4.519658468707035,Safe Passage (1994)
298,10,12,4.502103435974541,"Usual Suspects, The (1995)"
115,1,1449,4.961736614889606,Pather Panchali (1955)
115,2,1512,4.907990412612533,"World of Apu, The (Apur Sansar) (1959)"
115,3,169,4.766770162596651,"Wrong Trousers, The (1993)"
115,4,408,4.761479573487364,"Close Shave, A (1995)"
115,5,60,4.717171836233356,Three Colors: Blue (1993)
115,6,119,4.709743539269664,Maya Lin: A Strong Clear Vision (1994)
115,7,851,4.691946517023573,Two or Three Things I Know About Her (1966)
115,8,114,4.686660104292372,Wallace & Gromit: The Best of Aardman Animation (1996)
115,9,474,4.685859403721405,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
115,10,1599,4.642046343938937,Someone Else's America (1995)
253,1,1449,4.790601780113486,Pather Panchali (1955)
253,2,1467,4.7450854261866535,"Saint of Fort Washington, The (1993)"
253,3,318,4.743359154991455,Schindler's List (1993)
253,4,1554,4.67105211989328,Safe Passage (1994)
253,5,174,4.631109923972902,Raiders of the Lost Ark (1981)
253,6,1064,4.604718356111288,Crossfire (1947)
253,7,1189,4.592940214785928,Prefontaine (1997)
253,8,1512,4.588727758890947,"World of Apu, The (Apur Sansar) (1959)"
253,9,313,4.5540873476760675,Titanic (1997)
253,10,867,4.55103268576811,"Whole Wide World, The (1996)"
305,1,1449,4.309431260131204,Pather Panchali (1955)
305,2,408,4.124920774505749,"Close Shave, A (1995)"
305,3,169,4.120148529228858,"Wrong Trousers, The (1993)"
305,4,867,4.076095677344207,"Whole Wide World, The (1996)"
305,5,1467,4.065204236780417,"Saint of Fort Washington, The (1993)"
305,6,1064,4.0612154287527895,Crossfire (1947)
305,7,114,4.037350867893765,Wallace & Gromit: The Best of Aardman Animation (1996)
305,8,1398,4.004473005439338,Anna (1996)
305,9,1368,3.99502676334524,Mina Tannenbaum (1994)
305,10,603,3.9872442807118165,Rear Window (1954)
6,1,1449,4.467441090259923,Pather Panchali (1955)
6,2,1512,4.4229387568675795,"World of Apu, The (Apur Sansar) (1959)"
6,3,1467,4.280498487776382,"Saint of Fort Washington, The (1993)"
6,4,408,4.237978022572576,"Close Shave, A (1995)"
6,5,1599,4.220513805054875,Someone Else's America (1995)
6,6,603,4.218068934992543,Rear Window (1954)
6,7,867,4.21502380652084,"Whole Wide World, The (1996)"
6,8,1398,4.20510027216358,Anna (1996)
6,9,119,4.187269211434185,Maya Lin: A Strong Clear Vision (1994)
6,10,657,4.1504015780242405,"Manchurian Candidate, The (1962)"
62,1,1449,4.478711826711185,Pather Panchali (1955)
62,2,1512,4.448357756509641,"World of Apu, The (Apur Sansar) (1959)"
62,3,169,4.307075088198967,"Wrong Trousers, The (1993)"
62,4,408,4.297334116699603,"Close Shave, A (1995)"
62,5,1467,4.279238101423889,"Saint of Fort Washington, The (1993)"
62,6,119,4.213595299740056,Maya Lin: A Strong Clear Vision (1994)
62,7,12,4.209952275828903,"Usual Suspects, The (1995)"
62,8,64,4.200744272168866,"Shawshank Redemption, The (1994)"
62,9,867,4.191731410857536,"Whole Wide World, The (1996)"
62,10,1599,4.171785165739266,Someone Else's America (1995)
286,1,1449,4.774699877661185,Pather Panchali (1955)
286,2,1467,4.731134701268139,"Saint of Fort Washington, The (1993)"
286,3,318,4.72543242386317,Schindler's List (1993)
286,4,320,4.705390554035124,Paradise Lost: The Child Murders at Robin Hood Hills (1996)
286,5,1512,4.695757632006485,"World of Apu, The (Apur Sansar) (1959)"
286,6,1398,4.6330631493938625,Anna (1996)
286,7,64,4.616935634352553,"Shawshank Redemption, The (1994)"
286,8,178,4.5977429438991315,12 Angry Men (1957)
286,9,12,4.588826227044482,"Usual Suspects, The (1995)"
286,10,1131,4.58647201875612,Safe (1995)
200,1,1449,4.979410895297776,Pather Panchali (1955)
200,2,1467,4.9431332208567245,"Saint of Fort Washington, The (1993)"
200,3,64,4.827358173520602,"Shawshank Redemption, The (1994)"
200,4,1064,4.8139917414558235,Crossfire (1947)
200,5,174,4.809698696956789,Raiders of the Lost Ark (1981)
200,6,1189,4.7992958614363594,Prefontaine (1997)
200,7,867,4.777100193731527,"Whole Wide World, The (1996)"
200,8,1512,4.765097171191117,"World of Apu, The (Apur Sansar) (1959)"
200,9,1554,4.756049785357139,Safe Passage (1994)
200,10,1131,4.715649105224245,Safe (1995)
210,1,1449,4.966202782170824,Pather Panchali (1955)
210,2,1512,4.8426393635216565,"World of Apu, The (Apur Sansar) (1959)"
210,3,1467,4.765889390081331,"Saint of Fort Washington, The (1993)"
210,4,318,4.751234139830711,Schindler's List (1993)
210,5,169,4.734006726210766,"Wrong Trousers, The (1993)"
210,6,64,4.726072730558002,"Shawshank Redemption, The (1994)"
210,7,408,4.723361475523777,"Close Shave, A (1995)"
210,8,178,4.710466301913526,12 Angry Men (1957)
210,9,867,4.678488654484857,"Whole Wide World, The (1996)"
210,10,1599,4.670079999610868,Someone Else's America (1995)
224,1,174,4.181571451263985,Raiders of the Lost Ark (1981)
224,2,1449,4.1304116028074755,Pather Panchali (1955)
224,3,1189,4.117331076267913,Prefontaine (1997)
224,4,64,4.0798754746380475,"Shawshank Redemption, The (1994)"
224,5,1467,4.0380570766250665,"Saint of Fort Washington, The (1993)"
224,6,496,4.026287193174284,It's a Wonderful Life (1946)
224,7,1554,4.0234405531049715,Safe Passage (1994)
224,8,1064,3.9927839250609534,Crossfire (1947)
224,9,966,3.9751717298312053,"Affair to Remember, An (1957)"
224,10,50,3.9736279915261363,Star Wars (1977)
303,1,1512,4.795232231421977,"World of Apu, The (Apur Sansar) (1959)"
303,2,1449,4.715117903859238,Pather Panchali (1955)
303,3,178,4.552645740097354,12 Angry Men (1957)
303,4,1467,4.54741582168845,"Saint of Fort Washington, The (1993)"
303,5,169,4.530316910879328,"Wrong Trousers, The (1993)"
303,6,119,4.503663743337562,Maya Lin: A Strong Clear Vision (1994)
303,7,12,4.49363280627847,"Usual Suspects, The (1995)"
303,8,1599,4.48704037459073,Someone Else's America (1995)
303,9,114,4.469497214110138,Wallace & Gromit: The Best of Aardman Animation (1996)
303,10,1398,4.462275854239634,Anna (1996)
122,1,1449,4.933828097553822,Pather Panchali (1955)
122,2,1512,4.72873728233448,"World of Apu, The (Apur Sansar) (1959)"
122,3,867,4.673415456296346,"Whole Wide World, The (1996)"
