user_id,item_id,actual,predicted,was_impossible,abs_err,title
405,571,5.0,1.253871839798531,False,3.746128160201469,Another Stakeout (1993)
270,237,1.0,4.360578815048327,False,3.360578815048327,Jerry Maguire (1996)
148,191,1.0,4.318727306069631,False,3.318727306069631,Amadeus (1984)
363,1512,1.0,4.31663887964281,False,3.3166388796428103,"World of Apu, The (Apur Sansar) (1959)"
159,286,1.0,4.2812868327870826,False,3.2812868327870826,"English Patient, The (1996)"
186,12,1.0,4.265065648008974,False,3.2650656480089744,"Usual Suspects, The (1995)"
592,432,1.0,4.260014174381294,False,3.2600141743812943,Fantasia (1940)
867,276,1.0,4.257509707023172,False,3.257509707023172,Leaving Las Vegas (1995)
72,172,1.0,4.2525513583075165,False,3.2525513583075165,"Empire Strikes Back, The (1980)"
887,1063,1.0,4.22179746471563,False,3.22179746471563,"Little Princess, A (1995)"
310,1386,1.0,4.219564267367346,False,3.219564267367346,Tetsuo II: Body Hammer (1992)
605,238,1.0,4.2046982136163225,False,3.2046982136163225,Raising Arizona (1987)
117,143,1.0,4.19184933485326,False,3.19184933485326,"Sound of Music, The (1965)"
38,257,1.0,4.1906208104471006,False,3.1906208104471006,Men in Black (1997)
696,347,1.0,4.183300753487202,False,3.1833007534872024,Wag the Dog (1997)
